SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3018 Farrior Rd,Raleigh,NC,27607,1485000,4,4.5,Sunset Hills,3590,10890,2021,1,414,,Active,,,http://www.redfin.com/NC/Raleigh/3018-Farrior-Rd-27607/home/41090833,TMLS,2413441,N,Y,35.8073928,-78.6753524
MLS Listing,,Single Family Residential,5405 Crestview Rd,Raleigh,NC,27609,1275000,5,4,Wake,3700,19602,2017,1,345,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/5405-Crestview-Rd-27609/home/69077838,TMLS,2413439,N,Y,35.8523475,-78.6372519
MLS Listing,,Single Family Residential,2913 Coxindale Dr,Raleigh,NC,27615,450000,4,2.5,Alyson Pond,2544,10018,1997,1,177,51,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/2913-Coxindale-Dr-27615/home/41210744,TMLS,2413438,N,Y,35.8919919,-78.59272
MLS Listing,,Single Family Residential,4405 Birmingham Way,Raleigh,NC,27604,315000,3,2.5,Wake,1567,7405,1990,1,201,34,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/4405-Birmingham-Way-27604/home/41335683,TMLS,2413437,N,Y,35.8168302,-78.5638006
MLS Listing,,Townhouse,1112 Renewal Pl,Raleigh,NC,27603,299900,3,2.5,Renaissance Park,1602,2308,2016,1,187,229,Active,,,http://www.redfin.com/NC/Raleigh/1112-Renewal-Pl-27603/home/106340874,TMLS,2413432,N,Y,35.7379528,-78.6525175
MLS Listing,,Single Family Residential,3613 Cove Dr,Raleigh,NC,27604-4047,350000,4,2,Colewood Acres,1892,20037,2003,1,185,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/3613-Cove-Dr-27604/home/41279869,TMLS,2413422,N,Y,35.8058246,-78.576221
MLS Listing,,Townhouse,5636 Berry Creek Cir,Raleigh,NC,27613,369000,3,2.5,Long Lake,1659,2178,2003,1,222,134,Active,,,http://www.redfin.com/NC/Raleigh/5636-Berry-Creek-Cir-27613/home/41360150,TMLS,2413413,N,Y,35.8783539,-78.7303169
MLS Listing,,Single Family Residential,3020 Mt Vernon Church Rd,Raleigh,NC,27613,425000,3,2,Wake,1923,123274,1994,1,221,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/3020-Mt-Vernon-Church-Rd-27613/home/41195693,TMLS,2413412,N,Y,35.9797711,-78.695689
MLS Listing,,Single Family Residential,5310 Western Blvd,Raleigh,NC,17606,325000,3,2,Sunset Terrace,1713,15681,1948,1,190,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/5310-Western-Blvd-27606/home/41118971,TMLS,2413392,N,Y,35.7868042,-78.7153133
MLS Listing,,Condo/Co-op,1299 Schaub Dr Apt A,Raleigh,NC,27616,155000,2,1,Driftwood,1000,,1972,1,155,212,Active,,,http://www.redfin.com/NC/Raleigh/1299-Schaub-Dr-27606/unit-A/home/41161703,TMLS,2413387,N,Y,35.7820411,-78.7068861
MLS Listing,,Single Family Residential,5245 Fairmead Cir,Raleigh,NC,27613,450000,4,2.5,Harrington Grove,2375,9583,1994,1,189,20,Pre On-Market,October-16-2021 01:00 PM,October-16-2021 03:00 PM,http://www.redfin.com/NC/Raleigh/5245-Fairmead-Cir-27613/home/41194913,TMLS,2413375,N,Y,35.9217831,-78.7490156
MLS Listing,,Condo/Co-op,1921 Clark Ave #115,Raleigh,NC,27605,294900,2,1,The Village Gardens,795,,1949,1,371,217,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/1921-Clark-Ave-27605/unit-115/home/41326501,TMLS,2413374,N,Y,35.7887063,-78.656872
MLS Listing,,Single Family Residential,222 Glenwood Ave #521,Raleigh,NC,27603,475000,2,2,Downtown,1466,,2007,1,324,450,Active,,,http://www.redfin.com/NC/Raleigh/222-Glenwood-Ave-27603/unit-521/home/41328686,TMLS,2413356,N,Y,35.7836251,-78.6471448
MLS Listing,,Townhouse,9124 White Eagle Ct,Raleigh,NC,27617,495000,3,2.5,Brier Creek,3092,4356,2002,1,160,316,Active,,,http://www.redfin.com/NC/Raleigh/9124-White-Eagle-Ct-27617/home/41268929,TMLS,2413350,N,Y,35.9072118,-78.7927981
MLS Listing,,Single Family Residential,513 Chesterfield Rd,Raleigh,NC,27608,1699000,5,5,Budleigh,6300,19166,1951,1,270,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/513-Chesterfield-Rd-27608/home/41086013,TMLS,2413345,N,Y,35.8184303,-78.6679293
MLS Listing,,Single Family Residential,6105 River Rock Ct,Raleigh,NC,27604,314900,3,2.5,River Landings,1296,10890,1995,1,243,,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/6105-River-Rock-Ct-27604/home/41184341,TMLS,2413344,N,Y,35.8432451,-78.5337191
MLS Listing,,Single Family Residential,2209 Castle Pines Dr,Raleigh,NC,27604-5444,325000,3,2.5,Hedingham,1525,6098,2000,1,213,52,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/2209-Castle-Pines-Dr-27604/home/41248811,TMLS,2413337,N,Y,35.8125214,-78.539532
MLS Listing,,Condo/Co-op,1204 Schaub Dr Unit D,Raleigh,NC,27606,158000,2,1,Driftwood,909,,1972,1,174,232,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/1204-Schaub-Dr-27606/unit-D/home/41159358,TMLS,2413322,N,Y,35.7821083,-78.7055017
MLS Listing,,Single Family Residential,9021 Duval Hill St,Raleigh,NC,27603,578900,3,2.5,Tavernier,2960,29185,2007,1,196,18,Active,,,http://www.redfin.com/NC/Raleigh/9021-Duval-Hill-St-27603/home/41316731,TMLS,2413320,N,Y,35.6316754,-78.6446167
MLS Listing,,Single Family Residential,2905 Glade Aster Ct,Raleigh,NC,27604-5469,354900,3,2.5,Weslyn,2250,5227,2005,1,158,33,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/2905-Glade-Aster-Ct-27604/home/41358545,TMLS,2413316,N,Y,35.8177904,-78.5685471
MLS Listing,,Single Family Residential,11118 Emerald Creek Dr,Raleigh,NC,27617,645000,4,3.5,Brier Creek Country Club,3411,13503,2009,1,189,83,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/11118-Emerald-Creek-Dr-27617/home/41330383,TMLS,2413310,N,Y,35.9076522,-78.8117836
MLS Listing,,Townhouse,807 Mill Greens Ct,Raleigh,NC,27609-4260,365000,2,2.5,North Hills Place,1728,5662,1996,1,211,200,Active,,,http://www.redfin.com/NC/Raleigh/807-Mill-Greens-Ct-27609/home/41343348,TMLS,2413305,N,Y,35.8569386,-78.6556608
MLS Listing,,Single Family Residential,808 Brooklyn St,Raleigh,NC,27605,530000,2,2,Wake,1162,4791,1909,1,456,,Active,,,http://www.redfin.com/NC/Raleigh/808-Brooklyn-St-27605/home/41089315,TMLS,2413289,N,Y,35.7908243,-78.6502791
MLS Listing,,Townhouse,407 Brier Crossings Loop,Durham,NC,27703,379000,3,2.5,Townes at Brier Creek Crossing,1736,2178,2014,1,218,148,Pre On-Market,,,http://www.redfin.com/NC/Durham/407-Brier-Crossings-Loop-27703/home/110075002,TMLS,2413285,N,Y,35.9214003,-78.7810243
MLS Listing,,Single Family Residential,6144 Blakeman Ln,Raleigh,NC,27617-8389,560000,3,2.5,Harrington Pointe,2576,7405,2006,1,217,164,Pre On-Market,October-16-2021 12:00 PM,October-16-2021 02:00 PM,http://www.redfin.com/NC/Raleigh/6144-Blakeman-Ln-27617/home/41313975,TMLS,2413281,N,Y,35.9132202,-78.7335609
MLS Listing,,Single Family Residential,2800 Jonesbury Way,Raleigh,NC,27604-4867,280000,3,2,Wake,1380,8276,1988,1,203,34,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/2800-Jonesbury-Way-27604/home/41169569,TMLS,2413244,N,Y,35.8194408,-78.5629577
MLS Listing,,Single Family Residential,5520 Grand Traverse Dr,Raleigh,NC,27604,304900,3,2.5,Hedingham,1619,4356,1999,1,188,102,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/5520-Grand-Traverse-Dr-27604/home/41223948,TMLS,2413242,N,Y,35.8077282,-78.5404195
MLS Listing,,Townhouse,8017 Sunset Branch Ct,Raleigh,NC,27612,250000,2,2.5,Townes at Umstead Park,1250,1873,2008,1,200,145,Pre On-Market,October-16-2021 01:00 PM,October-16-2021 03:00 PM,http://www.redfin.com/NC/Raleigh/8017-Sunset-Branch-Ct-27612/home/41310476,TMLS,2413239,N,Y,35.8805776,-78.7476097
MLS Listing,,Single Family Residential,701 Vick Ave,Raleigh,NC,27612,950000,5,3,Coley Forest,3251,13503,1973,1,292,,Active,,,http://www.redfin.com/NC/Raleigh/701-Vick-Ave-27612/home/41124137,TMLS,2413236,N,Y,35.8241368,-78.6710978
MLS Listing,,Single Family Residential,1209 Enderbury Dr,Raleigh,NC,27614,1200000,4,4,Faircroft,4801,67518,2002,2,250,156,Pre On-Market,October-16-2021 12:00 PM,October-16-2021 02:00 PM,http://www.redfin.com/NC/Raleigh/1209-Enderbury-Dr-27614/home/41252715,TMLS,2413235,N,Y,35.9243057,-78.6189045
MLS Listing,,Townhouse,2109 Persimmon Ridge Dr,Raleigh,NC,27604,244000,2,2.5,Hedingham,1156,3484,2003,2,211,124,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/2109-Persimmon-Ridge-Dr-27604/home/41282549,TMLS,2413223,N,Y,35.813951,-78.544231
MLS Listing,,Townhouse,10702 Pendragon Pl,Raleigh,NC,27614,259900,3,2.5,Falls Commons Townhomes,1656,2613,2000,2,157,150,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/10702-Pendragon-Pl-27614/home/41343818,TMLS,2413217,N,Y,35.9192578,-78.5671447
MLS Listing,,Single Family Residential,3316 Marshlane Way,Raleigh,NC,27525,295000,3,2.5,Chastain,1846,8276,2003,2,160,14,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/3316-Marshlane-Way-27610/home/41268967,TMLS,2413209,N,Y,35.7362071,-78.5413956
MLS Listing,,Single Family Residential,7512 Leesville Rd,Durham,NC,27703,471000,3,2.5,Durham,1736,38768,1973,2,271,,Active,,,http://www.redfin.com/NC/Durham/7512-Leesville-Rd-27703/home/43586377,TMLS,2413201,N,Y,35.9238499,-78.7597749
MLS Listing,,Townhouse,3243 Warm Springs Ln,Raleigh,NC,27610,230000,4,3,Sunny Brook Estates,1502,,2014,2,153,120,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/3243-Warm-Springs-Ln-27610/home/49703233,TMLS,2413194,N,Y,35.7509014,-78.592465
MLS Listing,,Single Family Residential,2713 Newbold St,Raleigh,NC,27603,495000,3,2,Hertford Village,1427,10018,1953,2,347,,Active,,,http://www.redfin.com/NC/Raleigh/2713-Newbold-St-27603/home/41072422,TMLS,2413192,N,Y,35.7462379,-78.6409598
MLS Listing,,Single Family Residential,1458 Tamarino Dr,Raleigh,NC,27610,250000,3,2.5,Farmington Woods,1513,5227,2018,2,165,10,Pre On-Market,,,http://www.redfin.com/NC/Raleigh/1458-Tamarino-Dr-27610/home/143670642,TMLS,2413191,N,Y,35.7395869,-78.6029235
MLS Listing,,Single Family Residential,7209 Nicolson Ct,Raleigh,NC,27616,279999,3,2.5,Smoketree,1438,9583,1987,2,195,66,Active,,,http://www.redfin.com/NC/Raleigh/7209-Nicolson-Ct-27616/home/41164913,TMLS,2413186,N,Y,35.879338,-78.5660519
MLS Listing,,Single Family Residential,204 Plainview Ave,Raleigh,NC,27604-2330,460000,3,2,Belvidere Park,1009,11761,1950,2,456,,Active,,,http://www.redfin.com/NC/Raleigh/204-Plainview-Ave-27604/home/41090406,TMLS,2413183,N,Y,35.7983029,-78.6229169
